lat,lng,competitor_count_1km,area_store_density_3km,competition_ratio,is_high_competition,log_reviews,rating
12.8905455,77.69282119999987,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.69782119999986,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.70282119999986,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.70782119999986,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.71282119999985,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.71782119999985,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.72282119999984,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.72782119999984,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.73282119999983,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.73782119999983,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.74282119999982,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.74782119999982,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.75282119999981,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.75782119999981,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.7628211999998,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.7678211999998,0,0,0.0,0,3.020127355638707,4.05
12.8905455,77.7728211999998,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.5478212,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.5528212,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.55782119999999,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.56282119999999,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.56782119999998,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.57282119999998,0,1,0.0,0,3.020127355638707,4.05
12.8955455,77.57782119999997,0,7,0.0,0,3.020127355638707,4.05
12.8955455,77.58282119999997,0,14,0.0,0,3.020127355638707,4.05
12.8955455,77.58782119999996,0,27,0.0,0,3.020127355638707,4.05
12.8955455,77.59282119999996,0,29,0.0,0,3.020127355638707,4.05
12.8955455,77.59782119999996,0,33,0.0,0,3.020127355638707,4.05
12.8955455,77.60282119999995,4,39,0.1,0,3.020127355638707,4.05
12.8955455,77.60782119999995,4,45,0.08695652173913043,0,3.020127355638707,4.05
12.8955455,77.61282119999994,5,45,0.10869565217391304,0,3.020127355638707,4.05
12.8955455,77.61782119999994,3,45,0.06521739130434782,0,3.020127355638707,4.05
12.8955455,77.62282119999993,1,38,0.02564102564102564,0,3.020127355638707,4.05
12.8955455,77.62782119999993,1,37,0.02631578947368421,0,3.020127355638707,4.05
12.8955455,77.63282119999992,0,28,0.0,0,3.020127355638707,4.05
12.8955455,77.63782119999992,0,20,0.0,0,3.020127355638707,4.05
12.8955455,77.64282119999991,0,18,0.0,0,3.020127355638707,4.05
12.8955455,77.64782119999991,0,9,0.0,0,3.020127355638707,4.05
12.8955455,77.6528211999999,0,6,0.0,0,3.020127355638707,4.05
12.8955455,77.6578211999999,0,2,0.0,0,3.020127355638707,4.05
12.8955455,77.6628211999999,0,2,0.0,0,3.020127355638707,4.05
12.8955455,77.66782119999989,0,1,0.0,0,3.020127355638707,4.05
12.8955455,77.67282119999989,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.67782119999988,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.68282119999988,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.68782119999987,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.69282119999987,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.69782119999986,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.70282119999986,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.70782119999986,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.71282119999985,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.71782119999985,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.72282119999984,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.72782119999984,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.73282119999983,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.73782119999983,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.74282119999982,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.74782119999982,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.75282119999981,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.75782119999981,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.7628211999998,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.7678211999998,0,0,0.0,0,3.020127355638707,4.05
12.8955455,77.7728211999998,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.5478212,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.5528212,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.55782119999999,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.56282119999999,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.56782119999998,0,1,0.0,0,3.020127355638707,4.05
12.900545500000002,77.57282119999998,0,3,0.0,0,3.020127355638707,4.05
12.900545500000002,77.57782119999997,0,9,0.0,0,3.020127355638707,4.05
12.900545500000002,77.58282119999997,0,23,0.0,0,3.020127355638707,4.05
12.900545500000002,77.58782119999996,0,28,0.0,0,3.020127355638707,4.05
12.900545500000002,77.59282119999996,0,32,0.0,0,3.020127355638707,4.05
12.900545500000002,77.59782119999996,3,46,0.06382978723404255,0,3.020127355638707,4.05
12.900545500000002,77.60282119999995,8,53,0.14814814814814814,0,3.020127355638707,4.05
12.900545500000002,77.60782119999995,8,57,0.13793103448275862,0,3.020127355638707,4.05
12.900545500000002,77.61282119999994,7,57,0.1206896551724138,0,3.020127355638707,4.05
12.900545500000002,77.61782119999994,5,59,0.08333333333333333,0,3.020127355638707,4.05
12.900545500000002,77.62282119999993,1,56,0.017543859649122806,0,3.020127355638707,4.05
12.900545500000002,77.62782119999993,2,49,0.04,0,3.020127355638707,4.05
12.900545500000002,77.63282119999992,1,36,0.02702702702702703,0,3.020127355638707,4.05
12.900545500000002,77.63782119999992,0,26,0.0,0,3.020127355638707,4.05
12.900545500000002,77.64282119999991,0,19,0.0,0,3.020127355638707,4.05
12.900545500000002,77.64782119999991,0,17,0.0,0,3.020127355638707,4.05
12.900545500000002,77.6528211999999,0,12,0.0,0,3.020127355638707,4.05
12.900545500000002,77.6578211999999,0,5,0.0,0,3.020127355638707,4.05
12.900545500000002,77.6628211999999,0,2,0.0,0,3.020127355638707,4.05
12.900545500000002,77.66782119999989,0,2,0.0,0,3.020127355638707,4.05
12.900545500000002,77.67282119999989,0,1,0.0,0,3.020127355638707,4.05
12.900545500000002,77.67782119999988,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.68282119999988,0,0,0.0,0,3.020127355638707,4.05
12.900545500000002,77.68782119999987,0,0,0.0,0,3.020127355638707,4.05
