name,lat,lng,rating,user_ratings_total,vicinity
DMart Koramangala,12.9321262,77.63443939999999,4.2,6325,"6th Cross Road S.T. Bed Extension, Cauvery Colony, S.T. Bed, 1st Block Koramangala, Koramangala, Bengaluru"
ROYAL CART EJIPURA,12.9437139,77.630279,3.6,9,"4/1, 4th Cross Road, Vivek Nagar, Chandra Reddy Layout, S T Bed Layout, Koramangala, Bengaluru"
Megha Mart,12.9300188,77.6335473,0.0,0,"902, 1st Main Road, Nirguna Mandir Layout, 1st Block Koramangala, Koramangala, Bengaluru"
SNV Veg Fresh,12.944103,77.61804190000001,4.6,11,"386, near pass port office, Mallappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru"
More Supermarket - KORAMANGALA - 2,12.9423145,77.6151206,3.9,2277,"472, Adugodi Main Road, Koramangala 8th Block, Koramangala, Bengaluru"
Spencers,12.9271991,77.63327220000001,3.0,2,"Spencer Retail Limited,NO.06, 7th Main, 80 Feet Road, 1st Block Koramangala, Bengaluru"
MURUGAN M NURSERY,12.9456457,77.61867579999999,3.8,14,"15, Koramangala, Bengaluru"
Xpress Home Needs Supermarket,12.9463324,77.6288237,4.2,542,"#60, 17th Cross Road, Gowda Muniswamy Garden, Ejipura, Bengaluru"
KPN Fresh - Head Office,12.9253835,77.63144799999999,4.5,29,"First Floor, IndiQube Sigma, Plot No 3/B, 3rd Block, Koramangala 1A Block, SBI Colony, Koramangala, Bengaluru"
GANGADHARA D,12.9289027,77.6353316,0.0,0,"1 Block, 2nd Main Road, Koramangala, Bengaluru"
ROSE STORES,12.9237613,77.6193802,4.2,18,"26 4th Cross, Hosur Road, Madiwala, Bengaluru"
YFS meeting point,12.9475034,77.6211807,5.0,2,India
More,12.9346426,77.61130469999999,4.0,1,"21, Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bengaluru"
Carrymart Supermarket,12.9248616,77.6164101,4.2,531,"WJF8+WHV, 3rd Cross Road, Madiwala New Extension, Maruti Nagar, BTM 1st Stage, Bengaluru"
MOHAMMED UMAR,12.9222009,77.62154810000001,0.0,0,"Ground Floor, Madiwala Vegetable Market, No 46, Madiwala, Bengaluru"
Village Hyper market,12.9328362,77.6101115,4.0,3403,"#1, Bharthi Plaza, 1st cross, SG Palya Main Road, Tavarekere, Ramaiah Garden, Bengaluru"
Royalmart Supermarket St.Johns Woods Apartment,12.92939,77.6110728,4.0,24,"House, Prestige St.johns Woods May Flower Club, Prestige St.Johns Wood, No:80, Saint John's Cross Road, Chikka Adugodi, Bengaluru"
Happy Store,12.9496292,77.6259005,5.0,3,"Fairlands bus stop, 35, 11th Cross, Ejipura Main Road, Viveknagar Further Extension, Vivek Nagar, Bengaluru"
Haseeb Stores,12.9497783,77.6264358,3.8,15,"Shop No. #36, Vivek Nagar Post, Bheemanna Complex, Ejipura Main Road, Gowda Muniswamy Garden, Ejipura, Bengaluru"
Minnus Hyper Market,12.9208592,77.6201528,0.0,0,"Sharif Complex, opp. Madiwala Police Station, 321/3, Hosur Road, Madiwala, Bengaluru"
Sri Murugan Hyper Mart,12.9511432,77.62316129999999,0.0,0,"Gournd Floor, near Viveknagar Police Station, No.428, 11th Main Road, Viveknagar, Ejipura, Bengaluru"
SAVOmart Viveknagar,12.951346,77.6227359,3.5,6,"434 11th Main Rd, 4th cross, Vannarpet Layout, Viveknagar, Ejipura, Bengaluru"
VASU STORE,12.9253958,77.61113379999999,5.0,2,"5th cross, 2nd Main Road, tavarekere, Bengaluru"
Bhagyashree General Store,12.9211673,77.63331289999999,3.3,8,"Venkatapura Main Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru"
EKA Shopping Mart,12.9334055,77.60741209999999,5.0,7,"41/4, 1st Main Road, Venkateshwara Extension, S.G. Palya, Bengaluru"
Home Magic Mini Bazar,12.9321537,77.60743409999999,3.5,4,"WJJ4+VX7, SG Palya Main Road, Venkateshwara Layout, S.G. Palya, Bengaluru"
M Mart SUPER MARKET,12.9193322,77.61616339999999,3.0,2,"8th Cross Road, Jai Bheem Nagar, BTM 1st Stage, Bengaluru"
Chakkapan Stores,12.930438,77.606871,4.1,94,"near Falooda Club, Bharathi Layout, S.G. Palya"
Annamma agency,12.9414982,77.6073061,5.0,1,"3, 2nd Main Road, Nanjappa Layout, Adugodi, Bengaluru"
Nandini milk Booth,12.9301868,77.6067362,0.0,0,"5, 3rd Cross Road, Tavarekere, Venkateshwara Layout, S.G. Palya, Bengaluru"
Xpress Home Needs,12.9255802,77.6086426,3.8,497,"WJG5+6FJ, Tavarekere Main Road, Balaji Nagar, S.G. Palya, Bengaluru"
New Sapna Store,12.9185171,77.63220210000001,3.8,2053,"30, 5th Main Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru"
Prajwal General Store,12.9199033,77.634891,4.6,18,"230/4, 8 TH C CROSS, 3rd Main Road, Venkatapura, Koramangala, Bengaluru"
M R STORE,12.9193729,77.63412389999999,3.7,55,"WJ9M+PJX, Venkatapura, Bengaluru"
Mythri Mart Super Market,12.9220365,77.6107112,4.2,2422,"anjanadri building, buss stop, near Tavarekere Road, 103, Muniyallapa Layout, Cashier Layout, BTM 1st Stage, Bengaluru"
NANDINI MILK DAIRY,12.9066461,77.6308718,3.0,21,"1145, Mangammanapalya Main Road, SBI Colony, Bommanahalli, Bengaluru"
The Eco Store,12.9159137,77.64922159999999,4.2,419,"1018, 13th Cross, 24th Main Rd, 5th Sector, Vanganahalli, 1st Sector, HSR Layout, Bengaluru"
More Supermarket,12.9120328,77.6479554,3.8,1189,"No. 435, BDA Site, 27th Main Road, Sector I, Agara Village, Block Extension, HSR Layout, Bengaluru"
Sri Lakshmi Venkateshwara Provision Store(SLV Provision Store),12.9191269,77.63465459999999,4.2,31,"Old No. 230/242- 38, 3rd Main, Venkatapura New Extn., BG Srikanteshwara, Shani Temple Road, Teacher's Colony, Bengaluru"
Vedavathi provision store,12.9200639,77.6362125,4.0,26,"66, 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru"
family choice,12.916492,77.61716,4.4,11,"306, Hosur Road, Madiwala, 1st Stage, BTM 1st Stage, Bengaluru"
Sobha Super Market,12.9149795,77.6352539,4.2,1152,"9th Main Road, Sector 6, HSR Layout, Bengaluru"
TOP IN TOWN RETAIL,12.9180977,77.61440689999999,3.9,3140,"Floor 27th, KMS HOME 98/2 Ground, main, 4th Cross Road, BTM 1st Stage, Bengaluru"
NTL Home needs Superm markets,12.9126631,77.6222561,0.0,0,"30/5/14, 6th Cross Road, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru"
Sri Hanuman Stores,12.9121154,77.62312279999999,4.3,36,"Sri Hari Homes, 3rd Main Road, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru"
My Mark,12.9145651,77.63668880000002,5.0,1,"opposite Bda Complex, 44 17Th Cross 12Th Main Har Layout, opposite Bda Complex, 12th Main Road, Sector 6, HSR Layout, Bengaluru"
V G R Essor,12.912231,77.6327712,5.0,1,"1144, 6th Main Road, 7th Sector, HSR Layout, Bengaluru"
Reliance Fresh,12.9164324,77.60465010000001,3.9,2956,"WJ83+HVC, 100 Feet Ring Road, Vysya Bank Colony, स्टेज 2, BTM Layout, Bengaluru"
Sri madhu provision store,12.9113032,77.6299777,0.0,0,"17, 18th Cross Road, 7th Sector, HSR Layout, Bengaluru"
Kerala Fish,12.9215777,77.6110884,4.3,6,"118, Tavarekere Main Road, Narayan Gowda Layout, 1st Stage, BTM 1st Stage, Bengaluru"
NEW KARNATAKA TRADERS,12.9209634,77.6112863,0.0,0,"WJC6+9G9, Tavarekere Main Road, Narayan Gowda Layout, 1st Stage, BTM 1st Stage, Bengaluru"
Shopping Land Super Market,12.9108759,77.6245374,4.0,462,"135, 3rd Main Road, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru"
"Greenfield Marketing, Nilgiris Franchisee",13.0236522,77.5921151,3.8,926,"389, 1, 1st Cross Road, Judges Colony, RT Nagar, Bengaluru"
S M Fresh Mart ( Formerly S M Food Palace),13.0272827,77.6041123,4.1,1881,"Sultanpalya Main Road, Dinnur, Kaval Bairasandra, Bengaluru"
Families Supermarket,13.0492558,77.60389409999999,4.0,2781,"2JX3+PH2, 3rd Cross Road, Vinayaka Layout, Coffee Board Layout, Hebbal Kempapura, Bengaluru"
FAMILIES SUPERMARKET,13.0266406,77.5934844,4.1,611,"near Foodworld, 12/A, 80 Feet Road, HMT Layout, RT Nagar, Bengaluru"
More Supermarket - CIL Layout,13.03927,77.60003669999999,3.9,1279,"No 3/4, Aryan Arcade, Cil Layout, V N Main Road, Guddadahalli, Bengaluru"
DMart RT Nagar,13.0291532,77.6071738,4.0,19114,"KHB Colony Main Road, Hanumanthappa Layout, Sultanpalya, Hebbal, Bengaluru"
